NBHD_ID,NBHD_NAME,Foreclosures_2003,Foreclosures_2004,Foreclosures_2005,Foreclosures_2006,Foreclosures_2007,Foreclosures_2008,Foreclosures_2009,Foreclosures_2010,Foreclosures_2011,Foreclosures_2012,Foreclosures_2013,Foreclosures_2014,Foreclosures_2015,Foreclosures_2016
11,Chaffee Park,34,46,39,66,78,74,68,51,24,29,8,15,3,4
62,Sunnyside,48,67,48,79,79,93,113,65,53,31,23,11,7,15
36,Highland,31,34,26,46,42,60,68,40,23,17,11,8,4,10
29,Globeville,39,31,36,57,59,46,39,32,18,13,10,5,3,2
39,Jefferson Park,18,11,7,14,16,20,19,13,5,4,8,2,1,1
61,Sun Valley,4,2,0,1,1,5,2,0,3,0,0,0,0,0
67,Valverde,22,33,25,61,61,51,48,19,24,27,14,7,4,5
1,Athmar Park,50,92,69,105,153,126,133,89,61,53,37,15,11,11
78,Windsor,33,48,22,62,74,67,69,49,53,40,33,17,18,11
49,Northeast Park Hill,61,71,60,97,89,123,129,74,47,42,34,26,13,13
25,Elyria Swansea,26,60,50,93,108,88,86,70,34,22,20,15,13,7
73,Wellshire,1,4,6,7,2,3,24,7,5,5,4,1,3,2
64,University,6,11,10,12,14,18,21,18,15,21,12,9,5,2
53,Rosedale,7,5,6,5,7,6,11,11,4,8,2,3,1,2
12,Cheesman Park,17,15,19,22,41,34,38,37,16,21,18,7,5,8
37,Hilltop,9,12,13,16,32,35,41,15,11,4,7,6,1,4
46,Montclair,17,22,16,21,26,39,48,39,29,24,15,7,3,3
31,Hale,14,20,12,10,28,28,40,40,18,15,11,13,3,5
48,North Park Hill,58,62,61,97,114,115,121,81,71,57,40,31,24,22
57,South Park Hill,15,21,13,34,39,44,49,25,30,18,17,12,4,8
66,University Park,1,7,5,10,13,26,44,17,17,14,7,4,6,2
51,Platt Park,10,8,5,15,14,17,22,17,13,8,13,8,6,6
19,College View - South Platte,28,37,33,57,83,68,84,66,34,41,15,10,5,7
50,Overland,13,16,10,28,18,18,42,21,17,13,11,3,3,3
54,Ruby Hill,48,73,80,126,135,146,134,86,42,62,33,28,16,11
40,Kennedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Hampden,64,104,73,111,107,73,106,91,65,64,46,42,22,18
3,Baker,23,19,19,26,36,34,58,24,21,17,8,7,7,7
27,Fort Logan,22,50,32,71,69,75,71,63,42,54,32,21,13,13
6,Bear Valley,14,32,21,35,49,59,50,35,28,28,17,11,10,14
35,Harvey Park South,13,31,26,45,64,49,74,45,31,27,23,9,10,8
58,Southmoor Park,1,2,8,11,12,20,25,21,9,10,2,6,2,4
33,Hampden South,44,54,44,88,54,90,107,78,54,53,35,28,17,24
38,Indian Creek,10,12,14,23,39,27,34,41,24,15,18,9,5,7
30,Goldsmith,10,11,8,15,17,15,28,20,11,6,9,5,3,1
69,Virginia Village,16,27,17,37,39,34,60,52,34,27,24,12,10,13
28,Gateway - Green Valley Ranch,155,210,211,476,574,598,693,488,371,337,184,130,83,83
23,DIA,0,1,1,14,15,19,41,22,15,17,16,14,7,3
65,University Hills,12,28,15,29,31,45,44,32,27,27,14,7,12,8
34,Harvey Park,66,88,68,143,160,153,130,104,65,74,39,33,9,20
43,Mar Lee,84,126,87,191,168,191,176,123,82,88,66,36,24,20
76,Westwood,116,153,126,213,273,213,239,141,75,71,50,22,17,16
24,East Colfax,54,62,52,102,130,121,113,69,67,49,27,24,12,12
2,Auraria,0,0,0,2,2,1,0,2,0,0,0,0,0,0
21,Cory - Merrill,10,11,10,12,9,25,38,19,7,8,9,3,6,0
7,Belcaro,6,5,4,5,11,14,18,11,12,9,10,4,5,2
70,Washington Park,10,6,5,10,11,18,17,16,19,12,8,3,2,7
71,Washington Park West,16,9,8,19,32,28,48,17,25,17,13,10,5,9
59,Speer,23,27,24,33,50,79,67,46,31,19,16,11,9,7
13,Cherry Creek,8,9,9,20,8,27,54,34,20,13,10,8,7,2
22,Country Club,6,5,0,6,11,11,15,7,5,5,2,3,2,2
20,Congress Park,10,15,11,27,40,37,51,35,26,22,11,9,8,8
14,City Park,3,5,2,6,6,4,18,14,3,9,5,2,2,3
17,Clayton,37,42,42,70,78,68,72,56,29,23,26,12,8,14
55,Skyland,26,34,21,40,43,43,41,34,20,15,9,6,3,3
18,Cole,27,45,30,57,72,65,72,32,17,27,13,11,5,3
44,Marston,36,47,36,79,59,96,102,75,51,55,34,32,12,12
72,Washington Virginia Vale,29,31,33,51,42,61,88,50,41,30,21,17,9,8
4,Barnum,40,82,46,101,101,111,107,60,45,35,20,24,12,9
5,Barnum West,35,57,39,83,94,95,110,48,34,41,32,19,6,11
68,Villa Park,53,74,63,121,138,102,130,86,51,59,17,16,12,5
74,West Colfax,41,53,42,65,69,62,93,44,24,26,13,11,6,6
75,West Highland,31,22,21,40,27,35,43,41,22,30,15,7,6,9
56,Sloan Lake,16,16,21,37,29,35,53,32,19,18,9,6,4,9
8,Berkeley,50,35,40,63,51,40,68,45,21,32,20,11,8,11
52,Regis,25,32,17,26,24,41,49,25,18,23,11,8,5,8
41,Lincoln Park,14,24,9,26,23,36,39,23,17,24,8,6,3,6
15,City Park West,11,20,11,15,33,31,42,28,12,15,11,3,7,6
77,Whittier,31,29,29,43,57,44,58,27,23,24,19,11,12,5
9,Capitol Hill,27,29,23,43,70,72,74,71,34,33,23,7,8,12
47,North Capitol Hill,9,4,13,17,18,30,29,22,12,12,6,1,1,2
16,Civic Center,1,4,6,19,10,8,13,9,5,2,1,1,0,0
10,CBD,8,9,7,7,8,10,17,14,8,7,4,3,1,1
63,Union Station,8,8,6,10,15,21,44,35,12,10,4,4,4,8
26,Five Points,34,40,17,46,35,71,90,69,49,29,14,7,11,11
60,Stapleton,1,1,7,10,21,24,55,32,23,29,11,19,6,9
45,Montbello,241,356,308,544,623,645,570,340,240,250,155,103,63,49
42,Lowry Field,5,6,6,5,12,21,28,22,15,11,9,5,5,8
