NBHD_NAME,Perimeter_km,Area_km2,PoliceStations,FireStations,LiquorLicenses,BikeRacks,Playgrounds,ParkAcres,Parks,ParkRestrooms,GroceryStores,ConvenienceStores,PublicLibraries,NumberChildrenInHeadStart,HeadStartPrograms,ChildCareCenters,RecreationCenters,HealthClinics,PrekindergartenSchools,Kindergartens,ElementarySchools (5th),MiddleSchools (8th),Highschools (12th),Colleges (Associates),Colleges (Bachelors),Colleges (Graduate),TechnicalInstitutes,TotalIndividualSchools,NBHD_NAME
Chaffee Park,7.169285,2.034492,0,0,5,0,1,13.069291,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,Chaffee Park
Sunnyside,7.812674,3.68475,1,1,22,2,3,18.48987,5,1,1,0,0,224,2,0,1,1,10,3,3,3,0,2,0,0,0,13,Sunnyside
Highland,7.176369,2.983552,0,0,75,16,4,39.663432,9,0,2,0,0,0,2,0,1,1,10,3,3,2,3,2,0,0,0,16,Highland
Globeville,12.842765,5.330716,1,0,15,1,2,95.530926,6,0,1,0,0,0,0,0,2,0,2,1,1,0,0,1,0,0,0,3,Globeville
Jefferson Park,5.468684,1.27316,0,0,16,1,2,21.635473,4,1,1,0,0,37,1,0,0,0,2,0,0,0,1,0,0,0,0,3,Jefferson Park
Sun Valley,6.402442,1.662273,0,0,8,1,1,23.172986,3,1,0,0,0,0,3,0,1,1,4,1,1,0,0,0,0,0,0,4,Sun Valley
Valverde,6.722417,2.484703,0,0,9,0,3,31.760223,5,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,3,Valverde
Athmar Park,8.333732,3.999997,0,1,20,0,5,72.731181,5,1,3,0,1,0,0,0,0,0,3,4,5,2,1,2,0,0,1,9,Athmar Park
Windsor,11.595603,4.423866,0,0,4,0,1,34.127364,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Windsor
Northeast Park Hill,12.777779,8.619135,1,0,10,0,3,24.522703,3,1,1,0,1,33,1,0,2,1,5,2,2,0,0,0,0,0,1,7,Northeast Park Hill
Elyria Swansea,10.672946,6.714448,0,1,16,2,4,27.135745,5,0,1,0,1,0,1,0,2,0,2,1,1,0,0,0,0,0,0,2,Elyria Swansea
Wellshire,6.639196,2.403066,0,0,1,0,0,133.911379,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,Wellshire
University,8.525811,3.225126,0,0,28,1,2,16.097898,3,0,2,0,0,0,0,0,0,0,3,4,3,2,0,2,0,0,1,7,University
Rosedale,4.826128,1.458832,1,0,9,2,1,75.697188,5,0,0,0,0,0,0,0,1,0,1,2,2,2,2,1,0,0,0,4,Rosedale
Cheesman Park,4.65439,1.363004,0,0,19,4,1,103.516343,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,3,Cheesman Park
Hilltop,10.337851,4.459776,0,0,2,3,2,80.583425,4,2,1,0,0,0,0,0,0,0,3,6,5,2,0,0,0,0,0,7,Hilltop
Montclair,6.540423,2.620167,0,1,24,0,4,11.989526,5,0,2,0,0,15,1,0,0,0,4,3,3,2,0,1,0,0,0,6,Montclair
Hale,6.369846,2.518388,0,0,18,2,1,7.066659,1,0,2,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,3,Hale
North Park Hill,8.79808,3.867427,0,0,2,0,0,0.688618,2,0,1,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,5,North Park Hill
South Park Hill,8.792124,3.85736,0,0,27,1,1,0.263707,1,0,0,0,1,0,0,0,0,0,3,3,3,3,1,1,1,1,0,7,South Park Hill
University Park,6.878873,3.008632,0,1,7,1,2,36.83281,5,2,1,0,0,0,0,0,0,0,3,4,3,2,1,1,0,0,0,6,University Park
Platt Park,6.000396,2.117899,0,1,33,3,1,3.726418,1,0,0,0,1,0,0,0,1,0,3,3,3,3,1,0,0,0,0,4,Platt Park
College View - South Platte,14.361936,3.775507,1,0,15,6,3,23.920988,4,0,3,0,0,34,1,0,1,0,1,2,1,2,2,0,0,0,0,5,College View - South Platte
Overland,8.437183,2.90607,0,0,12,2,2,174.011584,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Overland
Ruby Hill,8.337054,3.757493,0,0,7,1,2,158.230449,5,3,2,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,3,Ruby Hill
Kennedy,7.175088,1.817207,0,0,3,0,0,368.928916,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kennedy
Hampden,19.004858,7.308634,0,0,26,0,4,549.508925,11,2,2,0,1,0,0,0,0,0,1,1,1,1,0,4,1,1,0,6,Hampden
Baker,10.051888,3.860234,1,1,29,4,2,12.865938,5,0,1,0,0,0,0,0,1,0,4,2,2,2,1,1,0,0,0,6,Baker
Fort Logan,15.819697,6.868922,0,1,1,0,3,125.18616,4,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,3,Fort Logan
Bear Valley,10.69699,3.499363,0,0,6,0,4,80.896963,3,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,5,Bear Valley
Harvey Park South,8.168991,3.536957,1,0,6,0,1,13.761331,1,0,1,0,1,0,0,0,0,0,2,2,2,0,1,2,0,0,0,6,Harvey Park South
Southmoor Park,10.698442,2.411905,0,0,10,0,1,4.557395,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,Southmoor Park
Hampden South,11.668673,7.53515,0,2,42,2,4,107.387941,7,1,2,0,0,0,0,0,0,0,3,2,2,0,0,2,0,0,0,5,Hampden South
Indian Creek,6.733615,1.261541,0,0,0,0,0,7.710379,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Indian Creek
Goldsmith,10.459317,2.001682,0,0,11,0,0,62.304125,2,0,1,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,3,Goldsmith
Virginia Village,12.127307,5.027349,0,0,21,1,3,51.57917,4,1,1,0,1,34,1,0,1,0,3,3,3,1,1,1,0,0,2,7,Virginia Village
Gateway - Green Valley Ranch,20.184905,19.052722,0,2,27,0,6,300.235619,19,2,1,0,1,0,2,0,2,3,6,7,7,10,5,0,0,0,0,20,Gateway - Green Valley Ranch
DIA,60.51788,109.605809,1,5,43,0,0,198.209294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,DIA
University Hills,11.648558,3.756255,0,0,19,1,2,85.526222,3,1,3,0,1,0,0,0,1,0,3,4,4,3,1,1,0,0,0,7,University Hills
Harvey Park,9.813202,4.362392,0,1,15,0,1,24.481181,1,1,1,0,0,0,0,0,1,2,3,4,3,2,3,0,0,0,0,7,Harvey Park
Mar Lee,8.066493,3.901226,0,0,13,2,4,87.977557,3,1,3,0,1,34,1,0,0,0,5,4,4,2,0,1,0,0,0,10,Mar Lee
Westwood,8.068979,3.873389,1,0,19,1,3,26.46403,8,0,7,0,1,0,4,0,0,2,6,3,4,2,1,1,0,0,0,10,Westwood
East Colfax,7.248584,2.767093,0,0,12,2,3,14.90651,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,3,East Colfax
Auraria,5.394294,1.670492,0,1,7,1,1,19.406724,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,5,Auraria
Cory - Merrill,6.063667,2.171476,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,2,0,8,2,2,1,12,Cory - Merrill
Belcaro,7.580788,3.01521,0,0,12,3,0,27.836098,5,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,Belcaro
Washington Park,9.394736,3.909363,1,1,23,3,2,173.708358,2,4,1,0,0,0,0,0,1,1,1,2,2,1,1,0,1,1,0,4,Washington Park
Washington Park West,6.71306,2.258358,0,0,16,6,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,Washington Park West
Speer,6.068437,2.210087,0,0,64,3,1,6.692838,3,0,2,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,2,Speer
Cherry Creek,6.148798,2.165566,0,0,63,6,2,20.526226,5,1,3,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,3,Cherry Creek
Country Club,5.214053,1.680589,0,0,9,5,0,2.660524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Country Club
Congress Park,6.5249,2.663619,1,1,29,8,1,49.023403,3,1,1,0,0,0,0,0,0,0,3,4,4,2,1,1,0,0,2,7,Congress Park
City Park,5.685437,1.988737,1,0,14,8,2,317.350977,2,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,City Park
Clayton,5.681871,1.994585,0,1,2,0,2,12.693311,3,0,1,0,0,237,1,0,0,1,7,4,4,3,1,0,0,0,0,10,Clayton
Skyland,5.7541,1.975638,0,0,4,1,0,143.714972,2,0,1,0,0,0,0,0,0,0,4,3,3,2,1,0,0,0,0,5,Skyland
Cole,4.53478,1.325282,0,0,8,0,2,4.734026,2,0,2,0,0,0,2,0,1,0,3,3,3,3,1,0,0,0,0,7,Cole
Marston,23.43193,8.203229,1,1,26,1,4,50.006436,8,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,2,Marston
Washington Virginia Vale,12.579233,4.733081,1,1,23,1,2,81.13816,5,2,6,0,0,0,0,0,0,1,5,5,4,3,1,2,0,0,0,8,Washington Virginia Vale
Barnum,5.702163,1.996582,0,1,7,4,3,48.758229,2,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,Barnum
Barnum West,5.578419,1.873242,0,0,2,0,2,20.586581,2,0,1,0,0,0,2,0,0,0,5,1,1,0,1,0,0,0,0,6,Barnum West
Villa Park,8.031582,2.559035,0,0,9,4,3,114.134036,4,0,2,0,0,0,1,0,0,0,4,3,3,1,0,0,0,0,0,4,Villa Park
West Colfax,7.600762,2.597724,1,0,18,1,2,85.789325,2,0,0,0,1,0,0,0,0,2,2,2,2,2,2,1,0,0,1,8,West Colfax
West Highland,7.204673,2.905372,0,0,36,10,2,10.023878,2,1,1,0,1,0,0,0,0,0,2,4,4,3,1,0,0,0,0,4,West Highland
Sloan Lake,8.034434,3.621359,1,1,6,0,4,288.98957,3,3,0,0,0,0,1,0,1,1,3,1,1,0,0,0,0,0,0,3,Sloan Lake
Berkeley,8.159528,3.876798,0,1,47,7,3,142.97639,4,3,2,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,3,Berkeley
Regis,8.762493,2.634452,0,0,10,0,0,207.533181,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,Regis
Lincoln Park,7.676241,3.30252,0,0,30,17,3,31.830992,3,0,1,0,1,33,2,0,1,3,3,1,1,4,4,2,0,0,0,13,Lincoln Park
City Park West,4.710017,1.384488,0,1,32,9,0,2.724723,1,0,0,0,0,269,1,0,0,0,2,0,0,1,1,1,0,0,0,4,City Park West
Whittier,4.836544,1.457309,0,0,4,2,4,11.733327,5,0,0,0,1,17,1,0,0,1,3,1,2,2,2,0,0,0,0,5,Whittier
Capitol Hill,5.31551,1.750538,0,0,65,31,1,4.142732,3,0,2,0,1,0,0,0,0,0,2,1,1,2,1,4,1,1,0,9,Capitol Hill
North Capitol Hill,3.804709,0.912427,1,0,44,16,0,2.724723,1,0,1,0,0,302,1,0,0,0,0,1,0,0,1,0,1,1,0,3,North Capitol Hill
Civic Center,4.232013,0.786474,1,0,25,6,0,10.61493,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,5,Civic Center
CBD,4.179574,1.115627,1,2,108,176,0,5.714178,4,1,2,0,0,0,0,0,0,0,1,0,0,0,1,6,2,2,2,11,CBD
Union Station,4.441441,1.13537,0,0,141,157,0,21.97553,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,4,Union Station
Five Points,10.035184,4.550152,1,1,117,23,5,46.20859,12,1,2,0,1,85,4,0,2,4,5,4,3,1,0,1,0,0,0,10,Five Points
Stapleton,29.214218,23.247452,2,1,62,0,4,460.556909,11,4,1,0,1,0,0,0,1,0,5,5,4,3,2,0,0,0,0,13,Stapleton
Montbello,15.00002,13.099793,1,1,15,1,5,110.826631,10,2,1,0,1,102,2,0,0,2,16,14,10,6,6,3,0,0,1,29,Montbello
Lowry Field,12.676931,6.674302,0,1,15,0,5,301.923066,10,4,1,0,1,0,1,0,1,1,7,7,7,4,1,1,0,0,1,13,Lowry Field
